"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
Shopping Options,خيارات التسوق,theme,frontend/Magento/luma
Address Book,دفتر العناوين,theme,frontend/Magento/luma
Previous,سابق,theme,frontend/Magento/luma
Payment Method,طريقة الدفع او السداد,theme,frontend/Magento/luma
Shipping Method,طريقة الشحن,theme,frontend/Magento/luma
Account Dashboard,لوحة الحساب,theme,frontend/Magento/luma
Clear All,مسح الكل,theme,frontend/Magento/luma
Account Information,معلومات الحساب,theme,frontend/Magento/luma
%1 Item(s),%1 عناصر,theme,frontend/Sn3ly/sn3ly_theme
%1 Item,%1 عنصر,theme,frontend/Sn3ly/sn3ly_theme
"%customer_name,","%customer_name,",theme,frontend/Sn3ly/sn3ly_theme
"%name,","%name,",theme,frontend/Sn3ly/sn3ly_theme
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",theme,frontend/Sn3ly/sn3ly_theme
About Us,About Us,theme,frontend/Sn3ly/sn3ly_theme
Billing Info,Billing Info,theme,frontend/Sn3ly/sn3ly_theme
Check the status of orders,Check the status of orders,theme,frontend/Sn3ly/sn3ly_theme
Credit memo for your %store_name order,Credit memo for your %store_name order,theme,frontend/Sn3ly/sn3ly_theme
Customer Service,Customer Service,theme,frontend/Sn3ly/sn3ly_theme
Email:,بريد إلكتروني:,theme,frontend/Sn3ly/sn3ly_theme
Footer,Footer,theme,frontend/Sn3ly/sn3ly_theme
For shipping to multiple family members and friends,For shipping to multiple family members and friends,theme,frontend/Sn3ly/sn3ly_theme
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.",theme,frontend/Sn3ly/sn3ly_theme
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.",theme,frontend/Sn3ly/sn3ly_theme
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Sn3ly/sn3ly_theme
Invoice for your %store_name order,Invoice for your %store_name order,theme,frontend/Sn3ly/sn3ly_theme
Items %1 to %2 of %3 total,Items %1 to %2 of %3 total,theme,frontend/Sn3ly/sn3ly_theme
Once your package ships we will send you a tracking number.,Once your package ships we will send you a tracking number.,theme,frontend/Sn3ly/sn3ly_theme
Order History,Order History,theme,frontend/Sn3ly/sn3ly_theme
Password you set when creating account,Password you set when creating account,theme,frontend/Sn3ly/sn3ly_theme
Password:,Password:,theme,frontend/Sn3ly/sn3ly_theme
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>",theme,frontend/Sn3ly/sn3ly_theme
Proceed through checkout faster,Proceed through checkout faster,theme,frontend/Sn3ly/sn3ly_theme
Quick Checkout,Quick Checkout,theme,frontend/Sn3ly/sn3ly_theme
Shipping Info,Shipping Info,theme,frontend/Sn3ly/sn3ly_theme
Store alternative addresses,Store alternative addresses,theme,frontend/Sn3ly/sn3ly_theme
Thank you for your order from %store_name.,Thank you for your order from %store_name.,theme,frontend/Sn3ly/sn3ly_theme
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:",theme,frontend/Sn3ly/sn3ly_theme
Update to your %store_name credit memo,Update to your %store_name credit memo,theme,frontend/Sn3ly/sn3ly_theme
Update to your %store_name invoice,Update to your %store_name invoice,theme,frontend/Sn3ly/sn3ly_theme
Update to your %store_name order,Update to your %store_name order,theme,frontend/Sn3ly/sn3ly_theme
Update to your %store_name shipment,Update to your %store_name shipment,theme,frontend/Sn3ly/sn3ly_theme
View past orders,عرض الأوامر الماضية,theme,frontend/Sn3ly/sn3ly_theme
Welcome to %store_name,مرحبا بك في %store_name,theme,frontend/Sn3ly/sn3ly_theme
Welcome to %store_name.,مرحبا بك في %store_name.,theme,frontend/Sn3ly/sn3ly_theme
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:",theme,frontend/Sn3ly/sn3ly_theme
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>.",theme,frontend/Sn3ly/sn3ly_theme
Your %store_name order confirmation,تأكيد الطلب من %store_name,theme,frontend/Sn3ly/sn3ly_theme
Your %store_name order has shipped,تم شحن الطلب من %store_name,theme,frontend/Sn3ly/sn3ly_theme
Your Credit Memo #%creditmemo_id for Order #%order_id,Your Credit Memo #%creditmemo_id for Order #%order_id,theme,frontend/Sn3ly/sn3ly_theme
Your Invoice #%invoice_id for Order #%order_id,Your Invoice #%invoice_id for Order #%order_id,theme,frontend/Sn3ly/sn3ly_theme
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,theme,frontend/Sn3ly/sn3ly_theme
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>",theme,frontend/Sn3ly/sn3ly_theme
Your Shipment #%shipment_id for Order #%order_id,Your Shipment #%shipment_id for Order #%order_id,theme,frontend/Sn3ly/sn3ly_theme
Your shipping confirmation is below. Thank you again for your business.,Your shipping confirmation is below. Thank you again for your business.,theme,frontend/Sn3ly/sn3ly_theme
Report All Bugs,أبلغ عن كل الثغرات,theme,frontend/Sn3ly/sn3ly_theme
You're currently reading page,أنت الان تقرأ الصفحة,theme,frontend/Sn3ly/sn3ly_theme
Manage Addresses,إدارة العناوين,theme,frontend/Sn3ly/sn3ly_theme
Show,إظهار,theme,frontend/Sn3ly/sn3ly_theme
Settings,إعدادات,theme,frontend/Sn3ly/sn3ly_theme
WK,اسبوع,theme,frontend/Sn3ly/sn3ly_theme
Next,التالي,theme,frontend/Sn3ly/sn3ly_theme
Go Today,الذهاب اليوم,theme,frontend/Sn3ly/sn3ly_theme
Previous,السابق,theme,frontend/Sn3ly/sn3ly_theme
"For the best experience on our site, be sure to turn on Local Storage in your browser.",برجاء تشغيل التخزين الداخلي للمتصفح لديك,theme,frontend/Sn3ly/sn3ly_theme
Toggle Nav,تبديل التنقل,theme,frontend/Sn3ly/sn3ly_theme
Now Shopping by,تسوق الآن,theme,frontend/Sn3ly/sn3ly_theme
Shop By,تسوق عبر,theme,frontend/Sn3ly/sn3ly_theme
Order Status,حالة الطلب,theme,frontend/Sn3ly/sn3ly_theme
Account,حساب,theme,frontend/Sn3ly/sn3ly_theme
Shopping Options,خيارات التسوق,theme,frontend/Sn3ly/sn3ly_theme
Address Book,دفتر العناوين,theme,frontend/Sn3ly/sn3ly_theme
Minute,دقيقة,theme,frontend/Sn3ly/sn3ly_theme
Hour,ساعة,theme,frontend/Sn3ly/sn3ly_theme
Help Us Keep Magento Healthy,ساعدنا,theme,frontend/Sn3ly/sn3ly_theme
My Cart,سلتي,theme,frontend/Sn3ly/sn3ly_theme
Page,صفحة,theme,frontend/Sn3ly/sn3ly_theme
Payment Method,طريقة الدفع او السداد,theme,frontend/Sn3ly/sn3ly_theme
Shipping Method,طريقة الشحن,theme,frontend/Sn3ly/sn3ly_theme
About the calendar,عن النتيجة,theme,frontend/Sn3ly/sn3ly_theme
"For the best experience on our site, be sure to turn on Javascript in your browser.",في متصفحك Javascript برجاء تشغيل ,theme,frontend/Sn3ly/sn3ly_theme
Menu,قائمة,theme,frontend/Sn3ly/sn3ly_theme
Close,قفل,theme,frontend/Sn3ly/sn3ly_theme
per page,لكل صفحة,theme,frontend/Sn3ly/sn3ly_theme
Account Dashboard,لوحة الحساب,theme,frontend/Sn3ly/sn3ly_theme
Remove,مسح,theme,frontend/Sn3ly/sn3ly_theme
Clear All,مسح الكل,theme,frontend/Sn3ly/sn3ly_theme
Remove This Item,مسح هذا العنصر,theme,frontend/Sn3ly/sn3ly_theme
Search Terms,مصطلحات البحث,theme,frontend/Sn3ly/sn3ly_theme
JavaScript seems to be disabled in your browser.,معطلة في المتصفح لديك JavaScript يبدو أن,theme,frontend/Sn3ly/sn3ly_theme
Account Information,معلومات الحساب,theme,frontend/Sn3ly/sn3ly_theme
This is demo store. No orders will be fulfilled.,"هذا متجر تجريبي, لن يتم الاهتمام بالاوامر المطلوبة",theme,frontend/Sn3ly/sn3ly_theme
Time,وقت,theme,frontend/Sn3ly/sn3ly_theme
Local Storage seems to be disabled in your browser.,يبدو أن مساحة التخزين الداخلية بالمتصفح لديك غير مفعلة,theme,frontend/Sn3ly/sn3ly_theme
Warning,تحذير,lib,lib/web/mage/adminhtml/backup.js
Cancel,إلغاء,lib,lib/web/mage/adminhtml/backup.js
Ok,حسنا,lib,lib/web/mage/adminhtml/backup.js
Backup options,خيارات النسخ الإحتياطي,lib,lib/web/mage/adminhtml/backup.js
Insert Widget...,Insert Widget...,lib,lib/web/mage/adminhtml/wysiwyg/widget.js
Recent items,Recent items,lib,lib/web/mage/backend/suggest.js
Show all...,Show all...,lib,lib/web/mage/backend/suggest.js
No records found.,لا توجد سجلات.,lib,lib/web/mage/backend/suggest.js
Method %s does not exist on jQuery.decorate,Method %s does not exist on jQuery.decorate,lib,lib/web/mage/decorate.js
Close,غلق,lib,lib/web/mage/dropdown.js
Previous,سابق,lib,lib/web/mage/gallery/gallery.js
Next,قادم,lib,lib/web/mage/gallery/gallery.js
Please wait...,Please wait...,lib,lib/web/mage/loader_old.js
Loading...,تحميل...,lib,lib/web/mage/loader_old.js
Please wait...,Please wait...,lib,lib/web/mage/loader.js
Loading...,تحميل...,lib,lib/web/mage/loader.js
All ,All ,lib,lib/web/mage/menu.js
more,more,lib,lib/web/mage/menu.js
Cancel,إلغاء,lib,lib/web/mage/translate-inline-vde.js
Save,حفظ,lib,lib/web/mage/translate-inline-vde.js
Translate,ترجم,lib,lib/web/mage/translate-inline.js
Submit,عرض,lib,lib/web/mage/translate-inline.js
Close,غلق,lib,lib/web/mage/translate-inline.js
Maximum length of this field must be equal or less than %1 symbols.,Maximum length of this field must be equal or less than %1 symbols.,lib,lib/web/mage/validation.js
Please enter a value greater than or equal to %s.,Please enter a value greater than or equal to %s.,lib,lib/web/mage/validation.js
Please enter a value less than or equal to %s.,Please enter a value less than or equal to %s.,lib,lib/web/mage/validation.js
This is a required field.,هذا الحقل مطلوب.,lib,lib/web/mage/validation.js
Please enter a date between %min and %max.,الرجاء إدخال تاريخ بين %min و %max.,lib,lib/web/mage/validation/validation.js
Please enter a date from the past.,برجاء إدخال تاريخ ماض.,lib,lib/web/mage/validation/validation.js
Please enter a valid day (1-%1).,Please enter a valid day (1-%1).,lib,lib/web/mage/validation/validation.js
Please enter a valid year (1900-%1).,Please enter a valid year (1900-%1).,lib,lib/web/mage/validation/validation.js
Total of %1 record(s) have been removed.,تم إزالة عدد %1 سجل.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read., %1 تم وضع علامة مقروء على ,module,Magento_AdminNotification
 unread), غير مقروء),module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
1 Hour,1 ساعة,module,Magento_AdminNotification
12 Hours,12 ساعة,module,Magento_AdminNotification
2 Hours,2 ساعات,module,Magento_AdminNotification
24 Hours,24 ساعة,module,Magento_AdminNotification
6 Hours,6 ساعات,module,Magento_AdminNotification
Date Added,Date Added,module,Magento_AdminNotification
Last Update,Last Update,module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,One or more of the Cache Types are invalidated: %1. ,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Please go to <a href=""%1"">Cache Management</a> and refresh cache types.",module,Magento_AdminNotification
Severity,Severity,module,Magento_AdminNotification
Show List,Show List,module,Magento_AdminNotification
Show Toolbar,Show Toolbar,module,Magento_AdminNotification
Synchronization of media storages has been completed.,Synchronization of media storages has been completed.,module,Magento_AdminNotification
Update Frequency,Update Frequency,module,Magento_AdminNotification
Use HTTPS to Get Feed,Use HTTPS to Get Feed,module,Magento_AdminNotification
We were unable to synchronize one or more media files. Please refer to the log file for details.,We were unable to synchronize one or more media files. Please refer to the log file for details.,module,Magento_AdminNotification
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,module,Magento_AdminNotification
Actions,أعمال,module,Magento_AdminNotification
Notifications,الإشعارات,module,Magento_AdminNotification
Messages Inbox,الرسائل الواردة,module,Magento_AdminNotification
Please select messages.,برجاء اختيار الرسائل,module,Magento_AdminNotification
The message has been removed.,تم مسح الرسالة,module,Magento_AdminNotification
The message has been marked as Read.,تم وضع علامة مقروء على الرسالة,module,Magento_AdminNotification
minor,ثانوي,module,Magento_AdminNotification
critical,حرج,module,Magento_AdminNotification
Wrong notification ID specified.,خطأ في الرقم التعريفي للإخطار,module,Magento_AdminNotification
See All (,رؤية الكل (,module,Magento_AdminNotification
major,رئيسي,module,Magento_AdminNotification
System messages,رسائل النظام,module,Magento_AdminNotification
Critical System Messages,رسائل النظام الحرجة,module,Magento_AdminNotification
Major System Messages,رسائل النظام الرئيسية,module,Magento_AdminNotification
System Messages:,رسائل النظام:,module,Magento_AdminNotification
Message,رسالة,module,Magento_AdminNotification
Incoming Message,رسالة قادمة,module,Magento_AdminNotification
Mark as Read,ضع إشارة مقروء,module,Magento_AdminNotification
Close,غلق,module,Magento_AdminNotification
Read Details,قراءة التفاصيل,module,Magento_AdminNotification
close,قفل,module,Magento_AdminNotification
You have %1 new system messages,لديك 1% رسائل جديدة,module,Magento_AdminNotification
You have %1 new system message,لديك 1% رسالة جديدة,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,لم نتمكن من وضع الإشعار مقروء بسبب خطأ,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,لم نستطيع مسح الرسالة بسبب خطأ ما,module,Magento_AdminNotification
Remove,مسح,module,Magento_AdminNotification
notice,ملاحظة,module,Magento_AdminNotification
Wrong message type,نوع رسالة خاطأ,module,Magento_AdminNotification
Are you sure?,هل انت متأكد؟,module,Magento_AdminNotification
Entity type model '%1' is not found,Entity type model '%1' is not found,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_AdvancedPricingImportExport
There are no product types available for export,There are no product types available for export,module,Magento_AdvancedPricingImportExport
Please correct the data sent.,برجاء تصحيح البيانات المرسلة,module,Magento_AdvancedPricingImportExport
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,module,Magento_Authorization
We can't find the role for the user you wanted.,We can't find the role for the user you wanted.,module,Magento_Authorization
API Login ID,API Login ID,module,Magento_Authorizenet
Authorize.net Direct Post,Authorize.net Direct Post,module,Magento_Authorizenet
Authorize.Net Transaction ID %1.,Authorize.Net Transaction ID %1.,module,Magento_Authorizenet
AVS Response,AVS استجابة,module,Magento_Authorizenet
CAVV Response,CAVV استجابة,module,Magento_Authorizenet
Credit Card Types,Credit Card Types,module,Magento_Authorizenet
Credit Card Verification,Credit Card Verification,module,Magento_Authorizenet
Email Customer,إرسال بريد إلكتروني للعميل,module,Magento_Authorizenet
FDS Filter Action,FDS إجراء التصفية,module,Magento_Authorizenet
Gateway error: %1,Gateway error: %1,module,Magento_Authorizenet
Maximum Order Total,Maximum Order Total,module,Magento_Authorizenet
Merchant MD5,Merchant MD5,module,Magento_Authorizenet
Merchant's Email,Merchant's Email,module,Magento_Authorizenet
Payment Action,Payment Action,module,Magento_Authorizenet
Payment from Applicable Countries,Payment from Applicable Countries,module,Magento_Authorizenet
Test Mode,Test Mode,module,Magento_Authorizenet
The transaction was declined because the response hash validation failed.,The transaction was declined because the response hash validation failed.,module,Magento_Authorizenet
Transaction Details URL,رابط تفاصيل المعاملة,module,Magento_Authorizenet
Transaction Key,مفتاح المعاملة,module,Magento_Authorizenet
Minimum Order Total,إجمالي الحد الأدنى للطلب ,module,Magento_Authorizenet
refund,إعادة مال,module,Magento_Authorizenet
Card Code Response,استجابة كود بطاقة,module,Magento_Authorizenet
capture,التقاط,module,Magento_Authorizenet
Payment from Specific Countries,الدفع من بلدان محددة,module,Magento_Authorizenet
Please enter a transaction ID to authorize this payment.,الرجاء إدخال تعريف المعاملة لتخويل الدفع.,module,Magento_Authorizenet
Card Verification Number,الرقم التحقيقي للبطاقة,module,Magento_Authorizenet
Accepted Currency,العملات المقبولة,module,Magento_Authorizenet
Sort Order,امر الترتيب,module,Magento_Authorizenet
Please choose a payment method.,برجاء إختيار طريقة الدفع,module,Magento_Authorizenet
Credit Card: xxxx-%1,بطاقة الإئتمان: xxxx-%1,module,Magento_Authorizenet
Expiration Date,تاريخ إنتهاء الصلاحية,module,Magento_Authorizenet
void,تجنب,module,Magento_Authorizenet
authorize and capture,تخويل والتقاط,module,Magento_Authorizenet
Authorize and Capture,تخويل والتقاط,module,Magento_Authorizenet
Invalid transaction ID.,تعريف المعاملة غير صالح.,module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تمت الموافقة على العملية 1%. بمبلغ 2%. وحالة العملية ""3%""",module,Magento_Authorizenet
Enabled,تمكين,module,Magento_Authorizenet
New Order Status,حالة الطلب الجديد,module,Magento_Authorizenet
Something went wrong in the payment gateway.,حدث خطأ في بوابة الدفع.,module,Magento_Authorizenet
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,حدث خطأ ما: المبلغ المدفوع لا يطابق مبلغ أمر الشراء. يرجى تصحيح هذا والمحاولة مرة أخرى.,module,Magento_Authorizenet
Payment voiding error.,خطأ فى إبطال الدفع.,module,Magento_Authorizenet
Payment refunding error.,خطأ فى استرداد الدفع.,module,Magento_Authorizenet
Payment capturing error.,خطأ في إلتقاط الدفع.,module,Magento_Authorizenet
Order saving error: %1,خطأ في حفظ الأمر: %1,module,Magento_Authorizenet
Gateway URL,رابط البوابة,module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.",رفضت العملية 1%. حالة العملية 2%. المبلغ 3%,module,Magento_Authorizenet
Credit Card Number,رقم بطاقة الإئتمان,module,Magento_Authorizenet
Debug,عالج,module,Magento_Authorizenet
This payment didn't work out because we can't find this order.,عملية الدفع لم تنجح بسبب أننا لم نجد أمر الشراء.,module,Magento_Authorizenet
Title,عنوان,module,Magento_Authorizenet
Unable to get transaction details. Try again later.,غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى في وقت لاحق.,module,Magento_Authorizenet
failed.,فشل.,module,Magento_Authorizenet
Fraud Detection ,كشف التزوير ,module,Magento_Authorizenet
amount %1,كمية %1,module,Magento_Authorizenet
Invalid amount for capture.,كمية غير صالح للالتقاط.,module,Magento_Authorizenet
Invalid amount for refund.,كمية غير صالحة للاسترداد.,module,Magento_Authorizenet
You created the order.,لقد أنشأت الأمر,module,Magento_Authorizenet
We can't process your order right now. Please try again later.,"لم نستطيع إكمال العملية الان, برجاء المحاولة مرة اخرى لاحقا",module,Magento_Authorizenet
Unable to place order. Please try again later.,"لم نستطيع إكمال العملية الان, برجاء المحاولة مرة اخرى لاحقا",module,Magento_Authorizenet
Fraud Filters,مرشحات الاحتيال,module,Magento_Authorizenet
successful.,ناجحة.,module,Magento_Authorizenet
Credit Card Type,نوع بطاقة الإئتمان,module,Magento_Authorizenet
There was a payment authorization error.,هناك خطأ في إذن الدفع.,module,Magento_Authorizenet
Place Order,وضع الطلب,module,Magento_Authorizenet
authorize,يأذن,module,Magento_Authorizenet
Authorize Only,يأذن فقط,module,Magento_Authorizenet
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ",module,Magento_Backend
 [deleted], [حذفت],module,Magento_Backend
Copyright &copy,Copyright &copy,module,Magento_Backend
 %1 Magento Commerce Inc. All rights reserved., %1 Magento Commerce Inc. All rights reserved.,module,Magento_Backend
Design Change, تغير التصميم,module,Magento_Backend
-- Please Select --,-- برجاء الإختيار --,module,Magento_Backend
[ deleted ],[ حذفت ],module,Magento_Backend
%1 cache type(s) disabled.,%1 cache type(s) disabled.,module,Magento_Backend
%1 cache type(s) enabled.,%1 cache type(s) enabled.,module,Magento_Backend
%1 cache type(s) refreshed.,%1 cache type(s) refreshed.,module,Magento_Backend
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>",module,Magento_Backend
2YTD,2YTD,module,Magento_Backend
Access denied,Access denied,module,Magento_Backend
Add Block Names to Hints,Add Block Names to Hints,module,Magento_Backend
Add Secret Key to URLs,Add Secret Key to URLs,module,Magento_Backend
Add Store Code to Urls,Add Store Code to Urls,module,Magento_Backend
Additional Cache Management,Additional Cache Management,module,Magento_Backend
Additional Settings,Additional Settings,module,Magento_Backend
Admin Base URL,Admin Base URL,module,Magento_Backend
Admin Session Lifetime (seconds),Admin Session Lifetime (seconds),module,Magento_Backend
Admin session lifetime must be greater than or equal to 60 seconds,Admin session lifetime must be greater than or equal to 60 seconds,module,Magento_Backend
Admin session lifetime must be less than or equal to 31536000 seconds (one year),Admin session lifetime must be less than or equal to 31536000 seconds (one year),module,Magento_Backend
Admin User Emails,Admin User Emails,module,Magento_Backend
Advanced,Advanced,module,Magento_Backend
All Stores,All Stores,module,Magento_Backend
Allow Countries,Allow Countries,module,Magento_Backend
Allow everything,Allow everything,module,Magento_Backend
Allow Symlinks,Allow Symlinks,module,Magento_Backend
Allows customers to stay logged in when switching between different stores.,Allows customers to stay logged in when switching between different stores.,module,Magento_Backend
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.",module,Magento_Backend
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.",module,Magento_Backend
An error occurred while clearing the JavaScript/CSS cache.,An error occurred while clearing the JavaScript/CSS cache.,module,Magento_Backend
An inactive store view cannot be saved as default store view,An inactive store view cannot be saved as default store view,module,Magento_Backend
Anchor Text for Next,Anchor Text for Next,module,Magento_Backend
Anchor Text for Previous,Anchor Text for Previous,module,Magento_Backend
Authentication error occurred.,Authentication error occurred.,module,Magento_Backend
Authentication storage is incorrect.,Authentication storage is incorrect.,module,Magento_Backend
Auto-redirect to Base URL,Auto-redirect to Base URL,module,Magento_Backend
Base Link URL,Base Link URL,module,Magento_Backend
Base URL,Base URL,module,Magento_Backend
Base URL for Static View Files,Base URL for Static View Files,module,Magento_Backend
Base URL for User Media Files,Base URL for User Media Files,module,Magento_Backend
Base URLs,Base URLs,module,Magento_Backend
Base URLs (Secure),Base URLs (Secure),module,Magento_Backend
Before modifying the store view code please make sure it is not used in index.php.,Before modifying the store view code please make sure it is not used in index.php.,module,Magento_Backend
Before modifying the website code please make sure it is not used in index.php.,Before modifying the website code please make sure it is not used in index.php.,module,Magento_Backend
